result_id|test_id|sample_size_mean_op|sample_size_mean|sample_size_min_op|sample_size_min|sample_size_max_op|sample_size_max|sample_size_unit|sample_size_comments|obs_duration_mean_op|obs_duration_mean|obs_duration_min_op|obs_duration_min|obs_duration_max_op|obs_duration_max|obs_duration_unit|obs_duration_comments|endpoint|endpoint_comments|trend|effect|effect_comments|measurement|measurement_comments|response_site|response_site_comments|effect_pct_mean_op|effect_pct_mean|effect_pct_min_op|effect_pct_min|effect_pct_max_op|effect_pct_max|effect_pct_comments|conc1_type|ion1|conc1_mean_op|conc1_mean|conc1_min_op|conc1_min|conc1_max_op|conc1_max|conc1_unit|conc1_comments|conc2_type|ion2|conc2_mean_op|conc2_mean|conc2_min_op|conc2_min|conc2_max_op|conc2_max|conc2_unit|conc2_comments|conc3_type|ion3|conc3_mean_op|conc3_mean|conc3_min_op|conc3_min|conc3_max_op|conc3_max|conc3_unit|conc3_comments|bcf1_mean_op|bcf1_mean|bcf1_min_op|bcf1_min|bcf1_max_op|bcf1_max|bcf1_unit|bcf1_comments|bcf2_mean_op|bcf2_mean|bcf2_min_op|bcf2_min|bcf2_max_op|bcf2_max|bcf2_unit|bcf2_comments|bcf3_mean_op|bcf3_mean|bcf3_min_op|bcf3_min|bcf3_max_op|bcf3_max|bcf3_unit|bcf3_comments|significance_code|significance_type|significance_level_mean_op|significance_level_mean|significance_level_min_op|significance_level_min|significance_level_max_op|significance_level_max|significance_comments|chem_analysis_method|chem_analysis_method_comments|endpoint_assigned|organism_final_wt_mean_op|organism_final_wt_mean|organism_final_wt_min_op|organism_final_wt_min|organism_final_wt_max_op|organism_final_wt_max|organism_final_wt_unit|organism_final_wt_comments|intake_rate_mean_op|intake_rate_mean|intake_rate_min_op|intake_rate_min|intake_rate_max_op|intake_rate_max|intake_rate_unit|intake_rate_comments|lipid_pct_mean_op|lipid_pct_mean|lipid_pct_min_op|lipid_pct_min|lipid_pct_max_op|lipid_pct_max|lipid_pct_comments|dry_wet|dry_wet_pct_mean_op|dry_wet_pct_mean|dry_wet_pct_min_op|dry_wet_pct_min|dry_wet_pct_max_op|dry_wet_pct_max|dry_wet_pct_comments|steady_state|additional_comments|companion_tag|created_date|modified_date|old_terretox_result_number
2190417|2104041||||||||||72|||||h||EC10||DEC|POP||ABND|||||||||||A|||9.17|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||04/10/2014|04/10/2014|
2190424|2104041||||||||||72|||||h||EC25||DEC|POP||PGRT|||||||||||A|||82.18|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||04/10/2014|04/10/2014|
163420|1203193||||||||||14|||||d||EC50||DEC|POP||GPOP/|OPTICAL DENSITY//||||||||||A|||26.2|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/28/1998|05/05/1998|
2380257|2190048||||||||||96|||||h||NOEC||DEC|BCM||PRCO/|PER ML OF CULTURE||||||||||A|||0.1|||||uM||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||Z||R||||||||||||||||||||||||||||||||| |69958|04/11/2017|04/11/2017|
2143469|2079088||||||||||96|||||h||||DEC|POP||PGRT|||||||90||100||F|||50|||||mg/L|ONLY CONC TESTED||||||||||||||||||||||||||||||||||||||||||||||||||||||U|||||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED// ||07/15/2013|07/15/2013|
2407611|2203161||||||||||10|||||d||EC50||DEC|POP||PGRT|||||||||||A|||0.30|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/31/2017|10/31/2017|
186373|1210172||||||||||||5||1440|mi||BCFD||INC|ACC||RSDE||WO|||||||||F|||40|||||ug/L|||||||||||||||||||||||130.5|||||L/kg|||||||||||||||||||||||||||U||P||||||||||||||||||||||||Dry||||||||| ||04/14/2000|07/24/2013|
227082|1238509||||||||||3|||||d||EC50||DEC|POP||PGRT/|STATS BASED ON SOLVENT CONTROL//||||||||||A|||2.80|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
227090|1238517||||||||||3|||||d||EC50||DEC|POP||BMAS/|FINAL YIELD, STATS BASED ON SOLVENT CONTROL//||||||||||A|||1.73|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| CONTR/C,V//||04/27/2004||
237189|1233780||||||||||18|||||d||NOEC||NEF|POP||ABND|||||||||||A|||14.18|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P||0.05||||||M||R||||||||||||||||||||||||||||||||| CONC/ONLY CONC TESTED//TESTID/13//MSMT/NR//DOSES/14.18 UG/L//SOURCE/WLD//WTINT/NR//DNUM/2//SEX/NR//TMETH/NR//STYPE/NR//ETIME/18 D//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/2.4 UG/L//MG/NR//SO4/NR//SULF/NR//||06/27/2007||
180065|1086152||||||||||96|||||h||NOEC||NEF|POP||PGRT|||||||||||A|||3|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||M||P||||||||||||||||||||||||||||||||| |69950|12/28/1999|04/11/2017|
402534|1229311||||||||||16|||||d||EC90|||POP||GPOP|||||||||||F|||1|||||umol/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||||P||||||||||||||||||||||||||||||||| ||10/15/2001||
108363|1047649||||||||||||0.08||3|h|||||BCM||GBCM|||||||||||F|||||8E-9||1E-6|M|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||05/11/1992||
801592|1340557||||||||||72|||||h||LOEL||DEC|BCM||FLRS/|DATA AT OTHER CONCENTRATIONS NOT REPORTED, NON-PHOTOCHEMICAL QUENCHING||||||||||F|||0.1|||||uM||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| DNUM/5//DOSES/0.01/0.05/0.1/0.15 uM//TESTID/2//OEF/TEMP EFCTS////||09/22/2011||
2176107|2095916||||||||||48|||||h||LOEC||INC|ENZ||CTLS|||||||||||A|||25|||||AI ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||02/06/2014|02/06/2014|
235724|1244390||||||||||96|||||h||NOEC||DEC|PHY||PIGM||WO|||||||||F|||200|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| TESTID/2//MSMT/NR//DOSES/12.5/25/50/100/200 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/ASTM//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR// DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//||06/11/2007|04/10/2017|
2238972|2129588||||||||||5|||||d||EC100||DEC|POP||ABND|||||||||||A|||10.0|||||uM|LOWEST COMPLETE INHIBITION||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/LOWEST COMPLETE INHIBITION// ||01/06/2015|01/06/2015|
216305|1223840||||||||||21|||||d||||INC|POP||BMAS||WO|||||||||A|||10|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||||||||||||||||||||||||||||||||||| EFCT%/90% FROM CONTROL//||03/18/2003|03/25/2003|
57086|1169699||||||||||8|||||d|||||POP/||GPOP|||||||||||F|||30|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| EFCT/DEC CELL MULTIPLICATION// 24 H PHOTOPERIOD// ||01/31/1985||
45917|1110637||||||||||4.6|||||d|||||BCM/||CHLO|||||||||||F|||832|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| O EFCT CONT/FIELD RPTD// MEDIUM/BRISTOL'S SOLN, BOLD, 1949// 11840 LUX, 24 H PHOTO// CARRIER/ETHANOL < 1 %// CONTR/SOLV// CONC/HIGHEST CONC// EFCT/95.4 % DEC CHLOROPHYLL CONTENT// ||01/31/1985||
705070|1255794||||||||||20|||||mi||NOEC|||POP||PSYN|||||||||||A|||1.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|||||||||U||||||||||||||||||||||||||||||||||| |1255794|10/20/2006||
3362|1145725||||||||||30|||||d||||INC|POP||BMAS|||||||||||A|||100|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<=|0.05||||||U||||||||||||||||||||||||||||||||||| PH/FROM GRAPH// ||08/02/1996||
101816|1140756||||||||||||2||3|wk||EC50|||POP||BMAS|||||||||||A|||410|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||09/26/1988||
148252|1190299||||||||||96|||||h||||CHG|BCM||CHLO/|CLRA//||||||||||A|||||10||200|ug/L||||||||||||||||||||||||||||||||||||||||||||||MULT|P||0.05||||||U||||||||||||||||||||||||||||||||||| ||05/22/1997|06/25/1997|
2378408|2189533||||||||||96|||||h||LOEC||DEC|POP||CHLA|||||||||||F|||5.00|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||P||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
2378425|2189533||||||||||48|||||h||LOEC||DEC|ENZ||PODA|||||||||||F|||0.05|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||03/31/2017|04/06/2017|
733006|1279643||||||||||96|||||h||LOEL||DEC|POP||PGRT|||||||||||F|||10|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.001||||||U||R||||||||||||||||||||||||||||||||| LIFESTG/CAPRICORNUTUM//DNUM/5//DOSES/10/17/29/50 ug/L//TESTID/1//OEF/RECOVERY////||09/04/2008||
227042|1233985||||||||||168|||||h||||DEC|POP||CHLO|||||||31||95||F|||||0.23||3.71|uM||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P||0.05||||||U||||||||||||||||||||||||||||||||||| ||04/26/2004||
703360|1254532||||||||||96|||||h||NOEC|||POP||PGRT|||||||||||A|||25.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||U||||||||||||||||||||||||||||||||||| DNUM/6//DOSES/12.5/25.0/50.0/100.0/200.0 ug/L//|1254532|01/30/2006||
2175357|2095522||||||||||72|||||h||EC50||DEC|PHY||PSII/|ELECTRON TRANSPORT||||||||||F||||>|0|<|100|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/04/2014|02/04/2014|
186377|1210176||||||||||24|||||h|||||GRO||SIZE||WO|||||||||F|||40|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/14/2000||
198579|1212735||||||||||72|||||h||EC50||DEC|POP||PGRT|||||||||||F|||91.8|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/STRAIN//||01/19/2001||
226392|1233031||||||||||||1||8|d||||DEC|POP||PSYN|||||||||||F|||||0.004||0.337|mg/dm3|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ||03/26/2004||
156013|1124962||||||||||||0||21|d||||DEC|POP||ABND/|CELLS PER ML//||||||||||F|||||1.9||50.0|ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|0.05||||||U||||||||||||||||||||||||||||||||||| ||01/05/1998||
2357837|2180744||||||||||24|||||h||EC01||DEC|POP||PGRT|||||||||||A|||0.38|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||10/12/2016|10/12/2016|
163441|1203214||||||||||21|||||d||EC50||DEC|POP||GPOP/|CHLOROPHYLL A//||||||||||A|||28.0|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/28/1998|05/05/1998|
733587|1280178||||||||||6|||||d||IC50||DEC|PHY||PSYN/|AS MEASURED BY OXYGEN EVOLUTION||||||||||F|||0.106|||||uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| DOSES/0 to 75 uM//TESTID/4//||10/07/2008||
72638|1140742||||||||||24|||||h||EC50|||PHY||PSYN|||||||||||A|||854||787||925|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||07/13/1993||
148364|1196135||||||||||4|||||d||EC50||DEC|POP||ABND/|HEMOCYTOMETER CELL COUNT//||||||||||A|||50||42||67|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||05/23/1997|06/25/1997|
702885|1254148||||||||||7|||||d||NOEL|||BCM||CHLA|||||||||||A|||0.10|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|P|<|0.05||||||U||||||||||||||||||||||||||||||||||| DNUM/5//DOSES/0.025/0.050/0.075/0.10 mg/L//NEGATIVE AND POSITIVE CONTROLS USED.//||01/13/2006||
712144|1259806||||||||||96|||||h||LOEC||INC|PHY||CASS||LD|||15.02||||||A|||136|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||||R||||||||||||||||||||||||||||||||| DNUM/4//DOSES/34/68/136 ug/L//TESTID/2//|1259806|07/25/2007||
235653|1244390||||||||||96|||||h||NOEC||DEC|POP||ABND|||||||||||F||<|12.5|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|1e-4||||||U||P||||||||||||||||||||||||||||||||| TESTID/2//MSMT/NR//DOSES/12.5/25/50/100/200 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/ASTM//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/1//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|69823|06/08/2007|04/10/2017|
2176105|2095916||||||||||||24||96|h||||DEC|POP||PGRT|||||||||||A|||||25||100|AI ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||02/06/2014|02/06/2014|
2407618|2203164||||||||||10|||||d||EC100||DEC|POP||PGRT|||||||||||F|||0.50|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/31/2017|10/31/2017|
188003|1214820||||||||||12|||||d||EC50||DEC|POP||BMAS|||||||||||A|||1041|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||05/11/2000|05/23/2000|
225595|1238834||||||||||2|||||h|||||POP||CHLO||||||>|0|<|150||A|||||50||1000|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| EFCT%/FROM GRAPH//||01/28/2004|03/15/2004|
2381264|2190299||||||||||42|||||d||LOEC||DEC|POP||BMAS/|ASH FREE DRY MASS. STATS TO C CONTROL.||||||||||A|||10.7|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|1e-4||||||M||R||||||||||||||||||||||||Dry||||||||| ||04/12/2017|04/12/2017|
2381283|2190299||||||||||60|||||d||LOEC||DEC|POP||BMAS/|ASH FREE DRY MASS. STATS TO C CONTROL.||||||||||A|||31.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P||0.401||||||M||R||||||||||||||||||||||||Dry||||||||| ||04/12/2017|04/12/2017|
2406964|2202706||||||||||90|||||mi||EC100||DEC|PHY||PSYN|||||||||||F|||0.80|||||ppm|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| ||10/26/2017|10/26/2017|
2190122|2103890||||||||||96|||||h||LOEC||DEC|BCM||LIPD||WO|||35.53|||||OF CONTROL|F|||100|||||ug/L|ONLY CONC TESTED|||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|1e-4||||||U||R|||||||||||||||||||||||||||||||||EFCT%/OF CONTROL//CONC1/ONLY CONC TESTED// ||04/09/2014|04/09/2014|
163436|1203209||||||||||14|||||d||EC50||DEC|POP||GPOP/|OPTICAL DENSITY//||||||||||A|||66.6|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| ||04/28/1998|05/05/1998|
221765|1060133||||||||||7|||||d||||DEC|POP||BMAS|||||||||||A|||||0.012||5.00|mg/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||||||||||||||||||||||||||||||||||| ||09/10/2003||
705075|1255798||||||||||20|||||mi||LOEC|||POP||PSYN|||||||||||A|||5.0|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|||||||||U||||||||||||||||||||||||||||||||||| |1255798|10/20/2006||
108567|1140713||||||||||24|||||h||EC50|||PHY/||PSYN|||||||||||F|||293||273||314|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| EFCT/C14 UPTAKE// ||07/15/1992|07/21/1992|
2175476|2095596||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|0|<|200|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/05/2014|02/05/2014|
2175527|2095615||||||||||48|||||h||EC50||DEC|PHY||PSII|||||||||||A|||59.5||42.1||84.2|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||M||P||||||||||||||||||||||||||||||||| ||02/05/2014|02/05/2014|
2378788|2189675||||||||||5|||||d||NOEC||DEC|POP||PSII/|MAXIMUM QUANTUM YIELD||||||||||F|||0.002|||||mg/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|||||||||U||R||||||||||||||||||||||||||||||||| |69524|04/04/2017|04/04/2017|
2175421|2095552||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|200|<|400|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/04/2014|02/05/2014|
22117|1157691||||||||||||24||72|h||||INC|BCM||GBCM/|TOTAL LIPIDS, POLAR LIPIDS, PHOSPHOLIPIDS, INORGANIC/||||||||||F|||||5||15|uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||||||||||||||||||||||||||||||||||| CHAR/ATRAZINE//EE/PHOSPHORUS// ||07/24/1996||
710264|1260052||||||||||96|||||h||LOEC||INC|PHY||CASS||LMW|||20.38||||||A|||34|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P|<|0.05||||||||R||||||||||||||||||||||||||||||||| DNUM/4//DOSES/34/68/136 ug/L//TESTID/2//||07/25/2007||
2137193|2077144|||||||||<=|80|||||mi||LOEC/|MINIMUM EFFECT CONCENTRATION|DEC|PHY||PSII|||||||||||A||<|460|||||nM||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R||||||||||||||||||||||||||||||||| ||06/25/2013|06/25/2013|
224364|1061794||||||||||7|||||d||||DEC|BCM||CHLO|||||||||||F|||||1.0||1000.0|ug/L||||||||||||||||||||||||||||||||||||||||||||||ASIG|P||0.01||||||U||||||||||||||||||||||||||||||||||| EFCT%/50-87% FROM CONTROL//||12/02/2003||
2104301|2062154||||||||||5|||||d||EC50|||POP||ABND|||||||||||A|||53|||||ppb|||||||||||||||||||||||||||||||||||||||||||||||||||||||||P||||||||||||||||||||||||||||||||| ||06/05/0013||
2175464|2095585||||||||||72|||||h||EC50||DEC|PHY||PSII/|QUANTUM YIELD||||||||||F||||>|200|<|400|nM|FROM GRAPH||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P|||||||||||||||||||||||||||||||||CONC1/FROM GRAPH// ||02/05/2014|02/05/2014|
